Address,FacilityName,Phone,Region
"Baddeck, Victoria County",Baddeck Waste Management Facility,902-295-2026,Cape Breton
"Grand Lake Road Sydney, CBRM",CBRM C&D Landfill,902-563-5593,Cape Breton
"Kenloch, Inverness County",Inverness C&D Landfill,902-258-3646,Cape Breton
Birch Cove Rd. CBRM,Paul MacDonald Trucking,902-737-1360,Cape Breton
"West Arichat, Richmond County",Richmond Waste Management Facility,902-226-2396,Cape Breton
"Broadway, Pictou County",Atlantic Supermarket Contractors,902-755-3213,Antigonish / Guysborough / Pictou
"Beech Hill Road, Antigonish County",Beech Hill Landfill,902-863-4744,Antigonish / Guysborough / Pictou
"Off TCH at Exit 25, Pictou County",Marinus Verhagen C&D Disposal Site,902-752-6411,Antigonish / Guysborough / Pictou
"Mount William, Pictou County",Pictou County Solid Waste Management Facility,902-396-1495,Antigonish / Guysborough / Pictou
"Middle StewiakeRoute 289, Colchester County",Colchester Containers,902-673-2808,Cumberland / Colchester / East Hants
"2052 Little Forks Rd, Cumberland County",Cumberland Central Landfill CD Site,902-667-5141,Cumberland / Colchester / East Hants
"Georgefield, East Hants",East Hants Waste Management Centre,902-758-1800,Cumberland / Colchester / East Hants
"350 Dixon Rd., Cumberland County",Mount Pleasant C&D,902-447-3381,Cumberland / Colchester / East Hants
"16 Mills Drive, Goodwood",Halifax C&D Recycling Ltd.,902-876-8644,Halifax Regional Municipality
"188 Ross Rd., Westphal",Halifax C&D Recycling Ltd.,902-876-8644,Halifax Regional Municipality
"1481 Arlington Road West, Hampton, Annapolis County",Arlington Heights C&D Landfill,902-665-4650,Valley
"4736 Highway 201, Annapolis County",Rice`s 201 C&D Disposal,902-665-2375,Valley
"2181 North River Rd., Kings County",South Mountain C&D Landfill,902-678-3657,Valley
"Torbrook, Annapolis County",Torbrook C&D Disposal and Recovery,902-765-9199,Valley
"908 Mullock Road, Whynott",Lunenburg Regional Community Recycling Centre,902-543-1992,South Shore
"Goose Lake Rd., Shelburne County",Barrington C&D Disposal Site,902-637-2322,Yarmouth / Digby
"919 Bonnie Road, Meteghan, Digby County",Clare C&D Facility,902-645-2993,Yarmouth / Digby
Digby County,Digby Salvage & Disposal,902-245-2657,Yarmouth / Digby
"South Ohio, Yarmouth County",Town of Yarmouth C&D Landfill,902-742-5852,Yarmouth / Digby
