Address,FacilityName,Fax,Phone,Region
"345 Gulf Crescent Dr. Edwardsville, CBRM",CBRM Household Special Waste Depot,902-564-8085,902-564-8104,Cape Breton
"151 Waste Management Rd, Route 16, Guysborough County",Guysborough County HHW Facility,902-232-2422,902-232-2316,Antigonish / Guysborough / Pictou
"220 Mount William Rd, Mount William, Pictou County",Pictou HHW Facility,902-396-4782,902-396-5062,Antigonish / Guysborough / Pictou
"185 Mingo Rd, Kemptown, Colchester County",Colchester HHW Facility,902-897-0882,902-897-0450,Cumberland / Colchester / East Hants
"1306 Georgefield Rd, Georgefield",East Hants HHW Facility,902-261-2179,902-261-2178,Cumberland / Colchester / East Hants
"20 Horseshoe Lake Dr, Halifax, HRM",HRM HHW Facility,902-490-6690,311,Halifax Regional Municipality
"100 Donald Hiltz Connector Rd,  Kentville, Kings County",Eastern Management Centre HHW Facility,902-679-1327,1-877-927-8300,Valley
"343 Elliot Rd, Lawrencetown, Annapolis County",Western Management Centre HHW Facility,902-679-1327,1-877-927-8300,Valley
"450 Kaizer Meadow Rd, Municipality of Chester",Kaizer Meadow HHW Facility,902-275-4771,902-275-2330,South Shore
"908 Mullock Rd, Whynot Settlement, Lunenburg County",Lunenburg Regional HHW Facility,902-543-7960,902-543-2991,South Shore
"1569 Cogmagun Rd, Cogmagun, Hants County",Cogmagun Road HHW Facility,902-757-0292,902-757-2308,South Shore
"3750 Highway #8 10 Mile Lake, Queens County",Queens Solid Waste Facility,,902-350-1084,South Shore
"243 Sandy Point Rd, Shelburne, Shelburne County",JSB HHW Facility,902-875-1278,902-875-5336,South Shore
1138 Clements Pond (Off HWY #103,Barrington HHW - Municipality of Barrington,,902-635-0181,South Shore
919 Bonnie Road,Clare HHW Depot,,902-837-8369,Yarmouth / Digby
245 Upper Cross Road,Digby HHW Depot,,902-245-2657,Yarmouth / Digby
1932 Hardscratch Road,Yarmouth County HHW Depot,,902-742-5852,Yarmouth / Digby
