Address,FacilityName,Fax,Phone,Region
"575 Grand Lake Rd, Sydney, CBRM",CBRM Transfer Station,902-563-5598,902-563-5590,Cape Breton
"420 West Lake Ainslie Rd, Inverness County",Kenloch Transfer Station,902-787-3110,902-258-3646,Cape Breton
"440 Old Margaree Rd, Baddeck, Victoria County",Victoria County Solid Waste,902-295-1780,902-295-2026,Cape Breton
"1358 Beech Hill Rd, Antigonish County",Beech Hill Municipal Solid Waste Transfer Station,902-863 -5751,902-863-4744,Antigonish / Guysborough / Pictou
"151 Waste Management Rd , Route 16, Guysborough County",Guysborough County Recycling Transfer Station,902-232-2422,902-232-2316,Antigonish / Guysborough / Pictou
"P.O. Box 296, Sherbrooke, Guysborough County",St. Mary's Transfer Facility,902-522-2309,902-522-2659,Antigonish / Guysborough / Pictou
"220 Mount William Rd, Mount William, Pictou County",Pictou County Transfer Station,902-396-4782,902-396-5062,Antigonish / Guysborough / Pictou
"4472 Highway 209, Advocate Harbour, Cumberland County",Advocate,,902-667-5141,Cumberland / Colchester / East Hants
"6279 Highway 321, Roslin, Cumberland County",Oxford (for town residents only),,,Cumberland / Colchester / East Hants
"1031 Irishtown Rd, Pugwash, Cumberland County",Pugwash,,902-667-5141,Cumberland / Colchester / East Hants
"142 Dump Rd, River Herbert, Cumberland County",River Hebert,,902-667-5141,Cumberland / Colchester / East Hants
"249 Sibley Rd, Middle Musquodoboit, HRM",HRM Middle Musquodoboit Transfer Station,902-490-6690,311,Halifax Regional Municipality
"21611 Hwy#7, Sheet Harbour, HRM",HRM Sheet Harbour Transfer Station,902-490-6690,311,Halifax Regional Municipality
"100 Donald Hiltz Connector Rd, Kentville, Kings County",Eastern Management Centre Transfer Station,902-679-1327,1-877-927-8300,Halifax Regional Municipality
"343 Elliot Rd, Lawrencetown,Annapolis County",Western Management Centre Transfer Station,902-679-1327,1-877-927-8300,Valley
"908 Mullock Rd, Whynot Settlement, Lunenburg County",Lunenburg Regional Waste Transfer Station,902-543-7960,902-543-2991,South Shore
"P.O. Box 1264, Liverpool, Queens County",Queens Organic Transfer Station,902-354-7473,902-354-3455,South Shore
"1932 Hardscratch Rd, Yarmouth, Yarmouth County",Yarmouth County Solid Waste Park,902-742-5220,902-742-5852,Yarmouth / Digby
"4571 Highway 3, West Green Harbour, Shelburne County",Regional Material Recovery Facility,,902-656-3273,Yarmouth / Digby
"P.O. Box 458, Little Brook, Digby County",Clare Transfer Station,902-769-3773,902-645-2993,Yarmouth / Digby
